GO:0046872,GO:0003674,GO:0004867,GO:0030414,GO:0016811,GO:0016787,GO:0017040,GO:0102121,GO:0071633,GO:0005252,GO:0005267,GO:0022841,GO:0008022,GO:0044548,GO:0005216,GO:0022857,GO:0004672,GO:0016740,GO:0000166,GO:0005524,GO:0004674,GO:0016301,GO:0016772,GO:0047323,GO:0048029,GO:0016853,GO:0042806,GO:0016857,GO:0036373,GO:0005179,GO:0042802,GO:0044877,GO:0005158,GO:0002020,GO:0005159,GO:0042803,GO:0008289,GO:0051787,GO:1990381,GO:0005515,GO:0030246,GO:0003756,GO:0003779,GO:0046982,GO:0005178,GO:0019899,GO:0015037,GO:0004656,GO:0003677,GO:0000976,GO:0000981,GO:0003700,GO:1990837,GO:0003676,GO:0003723,GO:0008446,GO:0016829,GO:0070401,GO:0003755,GO:0020037,GO:0003725,GO:0070878,GO:0004525,GO:0008233,GO:0004252,GO:0008236
GO:0005267,0,0,0,0,0,0,0,0,0,0.642399600076403,0.995673254625704,0.781083236162996,0,0,0.834982939688684,0.706149843676808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0022841,0,0,0,0,0,0,0,0,0,0.545675428494045,0.781083236162996,0.999782575609332,0,0,0.634536063629666,0.524235707986188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0008022,0.0706123833268702,0,0,0,0,0,0,0,0,0,0,0,0.997401778531516,0.135766910339496,0,0,0,0,0.0689403921629175,0.0616974438245697,0,0,0,0,0.0489073416970608,0,0.0395570024915762,0,0,0.164346618902892,0.205825660143722,0.0627297016217758,0.14345281721213,0.161249628946215,0.136332637013198,0.18984808059263,0.0620988298859169,0.141174503444367,0.137382907779221,0.271888187778194,0.0543506070572348,0,0.182861960898422,0.181626682439436,0.161492007296445,0.2165150417181,0,0,0.0704228169719252,0.0617945398045145,0,0,0.0620665085130772,0.074499277243708,0.0645585809432119,0,0,0.0383160854294465,0,0.0511157820024385,0.0494390425354285,0.0413752589331459,0,0,0,0
GO:0044548,0.054067336426893,0,0,0,0,0,0,0,0,0,0,0,0.135766910339496,0.999826060487465,0,0,0,0,0.0530816054983582,0.0486813199328644,0,0,0,0,0.0403543740296335,0,0.0337682601774037,0,0,0.134266538491849,0.16072901565199,0.0493217154712795,0.119988897178595,0.132192320871359,0.114966684090945,0.15081725989036,0.0489308695902208,0.118390785417692,0.115712654499305,0.198367286897606,0.0439895111770751,0,0.146374797177153,0.145582229207913,0.132355172165135,0.167174094806451,0,0,0.0539561267095544,0.0487417492145079,0,0,0.0489108000802855,0.0563171438990108,0.0504453290655436,0,0,0.0328597878785789,0,0.041846146839654,0.0407156803400986,0.0350844369805644,0,0,0,0
GO:0005216,0,0,0,0,0,0,0,0,0,0.511531470263781,0.834982939688684,0.634536063629666,0,0,0.982127715087078,0.845262003127385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0022857,0,0,0,0,0,0,0,0,0,0.416706364194424,0.706149843676808,0.524235707986188,0,0,0.845262003127385,0.958232774552649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004672,0,0,0,0,0.210549334461576,0.342554430811305,0.171407653939119,0,0.153874480198657,0,0,0,0,0,0,0,0.976072445806971,0.688683399050936,0,0,0.894384339782545,0.910987992693633,0.886003842871123,0.480593811147681,0,0.227026410586984,0,0.174610177812903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397655508911463,0,0,0,0,0.171407653939119,0.37639549366473,0,0,0,0,0,0,0,0.13754091449131,0.235581190158856,0,0.439566783815635,0,0,0,0.160850656301508,0.656109649708792,0.502065653623018,0.534690704462764
GO:0016740,0,0,0,0,0.245864118202572,0.447017142028881,0.194104963334809,0,0.171921445310299,0,0,0,0,0,0,0,0.688683399050936,0.900745765659992,0,0,0.618853624349085,0.736564178284455,0.754917204928382,0.302891968113148,0,0.268630863693453,0,0.198221964860415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192219920637256,0,0,0,0,0.194104963334809,0.180676518182764,0,0,0,0,0,0,0,0.151782601107951,0.280691696678448,0,0.215456882464702,0,0,0,0.180676518182764,0.346700895291957,0.251343872689805,0.270692691683315
GO:0000166,0.104329631584818,0,0,0,0,0,0,0,0,0,0,0,0.0689403921629175,0.0530816054983582,0,0,0,0,0.954830082838693,0.815041421815138,0,0,0,0,0.562299734979916,0,0.431031017828491,0,0,0.0677188119486084,0.0920073976495635,0.0879925817862415,0.0568687470896322,0.0660568942557972,0.0533568055350122,0.0821788408841906,0.0867562605845839,0.055735165279382,0.0538691956945683,0.140532520398846,0.0723471676132401,0,0.078074194994958,0.0773600476599555,0.0661862637308045,0.0989497073235504,0,0,0.569867607062908,0.472512687775932,0,0,0.475417445892429,0.619921554456267,0.502511919318911,0,0,0.44048187899629,0,0.365920437733274,0.350406939014857,0.279902374750314,0,0,0,0
GO:0005524,0.593119034123598,0,0,0,0,0,0,0,0,0,0,0,0.0616974438245697,0.0486813199328644,0,0,0,0,0.815041421815138,0.984388928750027,0,0,0,0,0.507811835183574,0,0.398272920143159,0,0,0.0607172362009517,0.0795447892326104,0.0765261017757492,0.0518478757297229,0.0593778117784037,0.0489126853630453,0.0720906473865361,0.0755892858496624,0.0509039616471228,0.0493429314435665,0.113396258237619,0.0644118913417005,0,0.0689124225806009,0.0683554494595493,0.0594823217910105,0.0846812719245026,0,0,0.484188862092405,0.412054822804617,0,0,0.41426207298246,0.519852228003342,0.434684559644368,0,0,0.420941843060382,0,0.328585194280478,0.316021565371406,0.25752020322298,0,0,0,0
